Source,CH1,CH2
Second,Volt,Volt
-0.00076968002,-3.52000,0.40000
-0.00076959998,-3.60000,0.40000
-0.00076952000,-3.68000,0.80000
-0.00076943997,-3.84000,1.00000
-0.00076935999,-3.84000,0.80000
-0.00076928001,-3.92000,0.80000
-0.00076919998,-4.00000,0.60000
-0.00076912000,-4.08000,0.80000
-0.00076904002,-4.16000,0.40000
-0.00076895999,-4.16000,0.60000
-0.00076888001,-4.16000,0.40000
-0.00076879998,-4.24000,0.60000
-0.00076872000,-4.24000,0.40000
-0.00076864002,-4.32000,0.60000
-0.00076855998,-4.32000,0.40000
-0.00076848001,-4.32000,0.60000
-0.00076839997,-4.32000,0.40000
-0.00076831999,-4.40000,0.60000
-0.00076824002,-4.40000,0.20000
-0.00076815998,-4.40000,0.40000
-0.00076808000,-4.40000,0.20000
-0.00076799997,-4.40000,0.40000
-0.00076791999,-4.32000,0.20000
-0.00076784001,-4.40000,0.40000
-0.00076775998,-4.32000,0.20000
-0.00076768000,-4.32000,0.40000
-0.00076760002,-4.32000,0.20000
-0.00076751999,-4.24000,0.40000
-0.00076744001,-4.24000,0.20000
-0.00076735998,-4.24000,0.40000
-0.00076728000,-4.24000,0.00
-0.00076720002,-4.16000,0.20000
-0.00076711999,-4.16000,-0.20000
-0.00076704001,-4.16000,0.20000
-0.00076695997,-4.08000,0.00
-0.00076688000,-4.08000,0.00
-0.00076680002,-4.00000,-0.20000
-0.00076671998,-3.92000,0.00
-0.00076664001,-3.92000,-0.20000
-0.00076655997,-3.76000,0.00
-0.00076647999,-3.84000,-0.40000
-0.00076640001,-3.68000,-0.20000
-0.00076631998,-3.68000,-0.40000
-0.00076624000,-3.52000,-0.20000
-0.00076615997,-3.52000,-0.60000
-0.00076607999,-3.36000,-0.40000
-0.00076600001,-3.36000,-0.60000
-0.00076591998,-3.20000,-0.60000
-0.00076584000,-3.12000,-0.60000
-0.00076576002,-3.04000,-0.60000
-0.00076567999,-2.96000,-0.80000
-0.00076560001,-2.88000,-0.60000
-0.00076551997,-2.80000,-1.00000
-0.00076544000,-2.72000,-0.80000
-0.00076536002,-2.56000,-1.20000
-0.00076527998,-2.48000,-1.00000
-0.00076520001,-2.48000,-1.20000
-0.00076511997,-2.32000,-1.20000
-0.00076503999,-2.16000,-1.20000
-0.00076496002,-2.16000,-1.20000
-0.00076487998,-1.92000,-1.40000
-0.00076480000,-1.84000,-1.20000
-0.00076471997,-1.76000,-1.40000
-0.00076463999,-1.68000,-1.20000
-0.00076456001,-1.60000,-1.40000
-0.00076447998,-1.52000,-1.40000
-0.00076440000,-1.28000,-1.40000
-0.00076432002,-1.20000,-1.40000
-0.00076423999,-1.12000,-1.40000
-0.00076416001,-1.04000,-1.40000
-0.00076407997,-0.88000,-1.40000
-0.00076400000,-0.80000,-1.40000
-0.00076392002,-0.72000,-1.40000
-0.00076383998,-0.56000,-1.20000
-0.00076376001,-0.40000,-1.40000
-0.00076367997,-0.32000,-1.20000
-0.00076359999,-0.16000,-1.40000
-0.00076352002,-0.08000,-1.20000
-0.00076343998,0.08000,-1.20000
-0.00076336000,0.16000,-1.20000
-0.00076327997,0.24000,-1.20000
-0.00076319999,0.32000,-1.00000
-0.00076312001,0.48000,-1.00000
-0.00076303998,0.64000,-1.00000
-0.00076296000,0.72000,-1.00000
-0.00076288002,0.88000,-0.80000
-0.00076279999,0.96000,-0.80000
-0.00076272001,1.04000,-0.60000
-0.00076263997,1.12000,-0.80000
-0.00076256000,1.36000,-0.60000
-0.00076248002,1.36000,-0.80000
-0.00076239998,1.52000,-0.60000
-0.00076232001,1.68000,-0.60000
-0.00076223997,1.76000,-0.60000
-0.00076215999,1.92000,-0.60000
-0.00076208002,1.92000,-0.40000
-0.00076199998,2.00000,-0.60000
-0.00076192000,2.16000,-0.40000
-0.00076183997,2.24000,-0.40000
-0.00076175999,2.32000,-0.40000
-0.00076168001,2.40000,-0.40000
-0.00076159998,2.48000,-0.40000
-0.00076152000,2.64000,-0.40000
-0.00076144002,2.72000,-0.40000
-0.00076135999,2.80000,-0.40000
-0.00076128001,2.88000,-0.20000
-0.00076119998,2.96000,-0.20000
-0.00076112000,3.04000,-0.20000
-0.00076104002,3.12000,-0.20000
-0.00076095999,3.20000,-0.20000
-0.00076088001,3.28000,-0.20000
-0.00076079997,3.36000,-0.20000
-0.00076072000,3.52000,-0.20000
-0.00076064002,3.36000,-0.20000
-0.00076055998,3.68000,-0.20000
-0.00076048000,3.68000,0.00
-0.00076039997,3.92000,-0.20000
-0.00076031999,4.00000,0.20000
-0.00076024001,4.00000,0.00
-0.00076015998,4.16000,0.40000
